PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
220.568,114.589,-93.486
224.589,114.589,-92.247
228.609,114.589,-93.505
232.629,114.589,-93.360
236.649,114.589,-93.771
240.669,114.589,-93.785
244.690,114.589,-92.319
248.710,114.589,-92.819
252.730,114.589,-93.883
256.750,114.589,-92.729
260.770,114.589,-92.480
264.791,114.589,-91.749
268.811,114.589,-91.997
272.831,114.589,-91.163
276.851,114.589,-90.041
220.568,117.902,-93.609
224.589,117.902,-92.130
228.609,117.902,-93.508
232.629,117.902,-92.389
236.649,117.902,-91.576
240.669,117.902,-92.129
244.690,117.902,-93.341
248.710,117.902,-93.583
252.730,117.902,-91.833
256.750,117.902,-92.103
260.770,117.902,-91.878
264.791,117.902,-90.738
268.811,117.902,-89.917
272.831,117.902,-91.765
276.851,117.902,-91.935
220.568,121.215,-93.238
224.589,121.215,-92.759
228.609,121.215,-93.652
232.629,121.215,-92.298
236.649,121.215,-93.568
240.669,121.215,-92.960
244.690,121.215,-91.598
248.710,121.215,-90.111
252.730,121.215,-89.721
256.750,121.215,-90.161
260.770,121.215,-92.927
264.791,121.215,-91.722
268.811,121.215,-86.913
272.831,121.215,-89.618
276.851,121.215,-86.019
220.568,124.528,-88.982
224.589,124.528,-91.685
228.609,124.528,-93.768
232.629,124.528,-92.554
236.649,124.528,-94.030
240.669,124.528,-90.940
244.690,124.528,-92.354
248.710,124.528,-91.838
252.730,124.528,-91.452
256.750,124.528,-89.803
260.770,124.528,-92.221
264.791,124.528,-91.581
268.811,124.528,-93.166
272.831,124.528,-91.013
276.851,124.528,-90.589
220.568,127.841,-92.894
224.589,127.841,-93.942
228.609,127.841,-90.713
232.629,127.841,-89.220
236.649,127.841,-90.996
240.669,127.841,-89.669
244.690,127.841,-93.390
248.710,127.841,-92.652
252.730,127.841,-92.104
256.750,127.841,-90.348
260.770,127.841,-90.958
264.791,127.841,-89.745
268.811,127.841,-92.631
272.831,127.841,-88.801
276.851,127.841,-88.919
220.568,131.154,-92.220
224.589,131.154,-93.670
228.609,131.154,-91.218
232.629,131.154,-91.184
236.649,131.154,-93.801
240.669,131.154,-92.464
244.690,131.154,-93.094
248.710,131.154,-90.145
252.730,131.154,-91.527
256.750,131.154,-89.172
260.770,131.154,-92.179
264.791,131.154,-91.573
268.811,131.154,-89.986
272.831,131.154,-90.306
276.851,131.154,-88.741
220.568,134.467,-92.590
224.589,134.467,-93.933
228.609,134.467,-91.400
232.629,134.467,-93.694
236.649,134.467,-90.549
240.669,134.467,-88.254
244.690,134.467,-90.873
248.710,134.467,-86.866
252.730,134.467,-88.280
256.750,134.467,-89.232
260.770,134.467,-91.256
264.791,134.467,-86.962
268.811,134.467,-87.705
272.831,134.467,-88.037
276.851,134.467,-89.818
220.568,137.780,-90.775
224.589,137.780,-90.749
228.609,137.780,-89.067
232.629,137.780,-93.267
236.649,137.780,-91.786
240.669,137.780,-89.257
244.690,137.780,-91.868
248.710,137.780,-91.972
252.730,137.780,-92.486
256.750,137.780,-91.547
260.770,137.780,-89.237
264.791,137.780,-88.277
268.811,137.780,-89.758
272.831,137.780,-88.633
276.851,137.780,-86.244
220.568,141.093,-90.298
224.589,141.093,-93.392
228.609,141.093,-93.193
232.629,141.093,-93.310
236.649,141.093,-93.238
240.669,141.093,-89.416
244.690,141.093,-93.343
248.710,141.093,-92.327
252.730,141.093,-92.388
256.750,141.093,-89.089
260.770,141.093,-92.640
264.791,141.093,-92.325
268.811,141.093,-91.622
272.831,141.093,-92.567
276.851,141.093,-91.211
220.568,144.406,-93.150
224.589,144.406,-93.193
228.609,144.406,-93.312
232.629,144.406,-92.001
236.649,144.406,-90.728
240.669,144.406,-93.155
244.690,144.406,-90.904
248.710,144.406,-88.841
252.730,144.406,-87.828
256.750,144.406,-89.193
260.770,144.406,-91.673
264.791,144.406,-91.288
268.811,144.406,-88.041
272.831,144.406,-91.075
276.851,144.406,-91.709
220.568,147.719,-92.937
224.589,147.719,-90.511
228.609,147.719,-88.003
232.629,147.719,-91.837
236.649,147.719,-91.306
240.669,147.719,-90.043
244.690,147.719,-93.546
248.710,147.719,-92.594
252.730,147.719,-91.042
256.750,147.719,-88.445
260.770,147.719,-92.284
264.791,147.719,-91.227
268.811,147.719,-91.835
272.831,147.719,-88.605
276.851,147.719,-88.668
220.568,151.032,-93.451
224.589,151.032,-92.757
228.609,151.032,-92.987
232.629,151.032,-90.379
236.649,151.032,-92.573
240.669,151.032,-91.987
244.690,151.032,-91.951
248.710,151.032,-89.149
252.730,151.032,-92.747
256.750,151.032,-87.104
260.770,151.032,-92.765
264.791,151.032,-91.652
268.811,151.032,-91.795
272.831,151.032,-89.209
276.851,151.032,-90.241
220.568,154.345,-91.780
224.589,154.345,-93.186
228.609,154.345,-91.934
232.629,154.345,-92.411
236.649,154.345,-90.210
240.669,154.345,-93.296
244.690,154.345,-92.896
248.710,154.345,-92.700
252.730,154.345,-92.420
256.750,154.345,-92.616
260.770,154.345,-88.605
264.791,154.345,-89.751
268.811,154.345,-92.444
272.831,154.345,-91.293
276.851,154.345,-90.428
220.568,157.658,-92.789
224.589,157.658,-93.097
228.609,157.658,-92.675
232.629,157.658,-90.470
236.649,157.658,-90.645
240.669,157.658,-91.461
244.690,157.658,-91.226
248.710,157.658,-92.273
252.730,157.658,-92.826
256.750,157.658,-88.408
260.770,157.658,-90.398
264.791,157.658,-87.732
268.811,157.658,-91.538
272.831,157.658,-91.107
276.851,157.658,-91.267
220.568,160.971,-89.296
224.589,160.971,-89.667
228.609,160.971,-92.800
232.629,160.971,-92.419
236.649,160.971,-87.835
240.669,160.971,-89.750
244.690,160.971,-92.327
248.710,160.971,-88.533
252.730,160.971,-91.020
256.750,160.971,-89.717
260.770,160.971,-89.612
264.791,160.971,-91.486
268.811,160.971,-88.631
272.831,160.971,-91.645
276.851,160.971,-91.514
