PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
207.101,104.602,-84.980
211.611,104.602,-84.989
216.121,104.602,-87.280
220.631,104.602,-87.551
225.142,104.602,-88.102
229.652,104.602,-86.477
234.162,104.602,-86.861
238.672,104.602,-83.380
243.182,104.602,-87.705
247.692,104.602,-88.002
252.203,104.602,-86.251
256.713,104.602,-82.466
261.223,104.602,-84.456
265.733,104.602,-82.563
270.243,104.602,-87.755
207.101,108.072,-86.743
211.611,108.072,-88.480
216.121,108.072,-88.630
220.631,108.072,-86.579
225.142,108.072,-87.840
229.652,108.072,-87.798
234.162,108.072,-87.350
238.672,108.072,-88.273
243.182,108.072,-88.180
247.692,108.072,-88.490
252.203,108.072,-89.144
256.713,108.072,-88.695
261.223,108.072,-88.969
265.733,108.072,-89.441
270.243,108.072,-88.518
207.101,111.542,-87.575
211.611,111.542,-88.378
216.121,111.542,-88.926
220.631,111.542,-86.645
225.142,111.542,-88.873
229.652,111.542,-88.138
234.162,111.542,-88.247
238.672,111.542,-87.206
243.182,111.542,-86.428
247.692,111.542,-87.697
252.203,111.542,-87.873
256.713,111.542,-89.425
261.223,111.542,-87.312
265.733,111.542,-88.270
270.243,111.542,-89.085
207.101,115.013,-88.600
211.611,115.013,-88.019
216.121,115.013,-88.173
220.631,115.013,-89.579
225.142,115.013,-88.072
229.652,115.013,-89.292
234.162,115.013,-88.095
238.672,115.013,-87.732
243.182,115.013,-88.423
247.692,115.013,-89.440
252.203,115.013,-87.138
256.713,115.013,-88.683
261.223,115.013,-89.667
265.733,115.013,-88.436
270.243,115.013,-83.682
207.101,118.483,-85.825
211.611,118.483,-87.323
216.121,118.483,-87.215
220.631,118.483,-88.467
225.142,118.483,-87.333
229.652,118.483,-86.953
234.162,118.483,-88.633
238.672,118.483,-84.375
243.182,118.483,-86.243
247.692,118.483,-85.021
252.203,118.483,-86.662
256.713,118.483,-87.179
261.223,118.483,-87.113
265.733,118.483,-90.198
270.243,118.483,-83.060
207.101,121.953,-89.031
211.611,121.953,-87.316
216.121,121.953,-85.279
220.631,121.953,-88.268
225.142,121.953,-88.419
229.652,121.953,-90.308
234.162,121.953,-89.831
238.672,121.953,-89.030
243.182,121.953,-85.587
247.692,121.953,-86.354
252.203,121.953,-88.910
256.713,121.953,-85.666
261.223,121.953,-90.083
265.733,121.953,-87.840
270.243,121.953,-85.374
207.101,125.423,-87.877
211.611,125.423,-87.266
216.121,125.423,-88.729
220.631,125.423,-88.713
225.142,125.423,-87.954
229.652,125.423,-88.668
234.162,125.423,-87.625
238.672,125.423,-85.934
243.182,125.423,-88.668
247.692,125.423,-83.320
252.203,125.423,-87.527
256.713,125.423,-87.745
261.223,125.423,-86.436
265.733,125.423,-82.503
270.243,125.423,-89.580
207.101,128.893,-87.375
211.611,128.893,-88.924
216.121,128.893,-87.293
220.631,128.893,-86.332
225.142,128.893,-88.286
229.652,128.893,-89.818
234.162,128.893,-87.799
238.672,128.893,-88.829
243.182,128.893,-88.609
247.692,128.893,-89.868
252.203,128.893,-89.870
256.713,128.893,-90.037
261.223,128.893,-88.712
265.733,128.893,-87.571
270.243,128.893,-88.826
207.101,132.364,-87.750
211.611,132.364,-87.666
216.121,132.364,-88.421
220.631,132.364,-86.275
225.142,132.364,-89.892
229.652,132.364,-88.189
234.162,132.364,-90.002
238.672,132.364,-88.753
243.182,132.364,-89.292
247.692,132.364,-86.312
252.203,132.364,-84.104
256.713,132.364,-84.795
261.223,132.364,-90.103
265.733,132.364,-88.720
270.243,132.364,-86.662
207.101,135.834,-87.914
211.611,135.834,-87.492
216.121,135.834,-87.964
220.631,135.834,-87.465
225.142,135.834,-88.139
229.652,135.834,-88.273
234.162,135.834,-88.231
238.672,135.834,-88.992
243.182,135.834,-89.526
247.692,135.834,-89.876
252.203,135.834,-89.628
256.713,135.834,-89.504
261.223,135.834,-90.197
265.733,135.834,-90.457
