PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
125.239,91.518,-94.272,-93.088,-95.310,-93.640,-93.267,-88.524,-91.493,-93.869,-93.635,-91.293,-93.239,-93.782,-90.544,-91.815,-93.093,-93.201,-94.252,-93.530,-93.245,-95.764,-91.941,-93.889,-94.321,-93.201,-92.179,-94.152,-93.385,-92.693,-94.372,-93.586,-91.614,-92.487,-92.263,-91.865,-93.771,-93.604,-92.106,-91.566,-91.725,-92.995,-93.255,-94.587,-92.023,-92.043,-94.441,-93.877,-93.135,-89.615,-93.434,-93.865,-94.689,-93.480,-89.638,-94.360,-92.062,-92.598,-95.076,-92.212,-91.905,-92.435,-93.510,-90.693,-93.176,-95.140,-91.435,-93.706,-94.571,-92.539,-93.609,-93.530,-94.007,-90.188,-90.447,-93.886,-91.545,-84.278,-96.870,-91.927,-92.419,-94.740,-93.090,-93.541,-92.550,-90.644,-93.053,-91.297,-94.181,-93.065,-93.068,-93.985,-93.250,-92.663,-90.774,-93.056,-90.139,-91.323,-93.370,-93.427,-93.256,-94.263,-95.378
146.362,91.518,-93.575,-92.968,-88.892,-95.322,-93.821,-90.830,-95.171,-93.661,-90.637,-93.942,-90.234,-90.232,-92.596,-92.370,-92.549,-92.948,-92.279,-93.174,-90.915,-93.263,-93.471,-94.743,-91.574,-91.753,-93.285,-94.201,-94.487,-94.114,-92.691,-92.739,-94.494,-94.080,-93.327,-93.308,-94.590,-93.968,-92.381,-91.136,-93.374,-92.115,-91.453,-92.714,-95.436,-93.266,-92.784,-93.382,-94.454,-93.964,-92.016,-91.466,-92.424,-91.928,-89.943,-92.710,-94.443,-92.260,-91.788,-92.924,-94.596,-92.500,-92.863,-90.255,-94.162,-95.609,-91.696,-95.454,-93.534,-94.240,-90.156,-93.771,-92.650,-96.584,-93.478,-92.412,-94.403,-87.714,-91.771,-93.226,-92.243,-92.575,-91.205,-91.983,-92.822,-92.589,-91.292,-93.154,-93.495,-92.165,-92.973,-93.579,-92.318,-91.662,-93.565,-92.386,-92.083,-93.818,-92.316,-92.909,-92.469,-91.285,-92.089
167.485,91.518,-92.862,-94.264,-94.750,-90.827,-93.736,-96.487,-92.857,-95.326,-93.700,-94.298,-93.138,-91.856,-92.908,-94.096,-94.067,-92.594,-93.951,-91.957,-93.326,-93.472,-94.092,-94.603,-91.336,-93.624,-95.032,-93.251,-90.900,-94.669,-94.409,-94.504,-92.758,-93.453,-93.481,-90.163,-94.446,-94.376,-79.837,-93.025,-92.193,-90.647,-94.012,-93.148,-92.954,-92.618,-93.061,-95.267,-92.041,-93.709,-95.784,-92.457,-89.791,-92.543,-92.304,-92.597,-92.706,-94.613,-92.601,-90.536,-93.877,-93.267,-91.105,-93.947,-93.999,-93.265,-93.285,-91.969,-93.349,-94.293,-92.610,-92.473,-94.398,-93.899,-93.762,-92.965,-91.378,-87.853,-93.980,-92.063,-91.490,-92.528,-90.343,-93.265,-89.223,-93.991,-93.526,-92.698,-94.003,-94.142,-91.712,-94.030,-94.641,-94.292,-92.543,-91.895,-93.153,-94.180,-90.858,-91.709,-93.095,-93.243,-94.866
188.608,91.518,-93.498,-94.569,-94.177,-93.090,-93.363,-91.940,-94.132,-94.422,-90.701,-94.010,-94.192,-93.521,-92.848,-93.783,-92.286,-92.808,-94.391,-93.815,-93.935,-95.755,-93.433,-91.816,-90.165,-92.700,-94.908,-92.267,-95.667,-93.320,-93.400,-93.913,-95.724,-91.729,-93.328,-94.507,-91.430,-83.181,-81.152,-92.540,-94.066,-92.718,-92.563,-94.173,-92.860,-92.439,-93.602,-93.722,-92.100,-90.937,-93.142,-91.567,-95.022,-93.896,-89.654,-92.940,-92.948,-91.406,-93.081,-95.248,-94.039,-91.901,-91.142,-90.691,-92.646,-92.342,-90.881,-93.677,-92.896,-91.908,-92.989,-91.101,-93.494,-94.106,-92.265,-90.729,-92.882,-88.884,-92.843,-94.773,-90.703,-93.123,-92.203,-92.330,-92.113,-94.569,-92.296,-93.437,-94.732,-92.033,-94.337,-95.332,-91.941,-92.104,-94.051,-94.058,-94.020,-91.772,-92.007,-92.061,-94.530,-91.117,-92.536
209.731,91.518,-93.999,-94.886,-93.745,-94.473,-94.256,-94.471,-94.493,-95.448,-93.035,-90.938,-93.810,-93.385,-93.613,-94.007,-92.850,-93.464,-94.237,-92.962,-92.624,-92.920,-93.877,-92.486,-92.225,-95.136,-93.517,-91.921,-92.465,-91.211,-92.640,-90.719,-94.877,-92.180,-92.634,-93.348,-91.902,-92.619,-81.425,-91.026,-94.321,-94.728,-92.977,-91.614,-89.090,-94.348,-92.962,-90.240,-93.372,-90.326,-93.676,-91.051,-93.754,-93.852,-89.053,-93.047,-93.470,-92.206,-90.898,-92.825,-94.003,-92.957,-91.566,-91.360,-93.992,-89.725,-91.185,-93.334,-92.273,-95.172,-94.017,-91.306,-93.716,-93.932,-91.976,-95.162,-92.198,-89.222,-95.113,-93.191,-92.650,-95.149,-95.630,-92.776,-91.002,-93.340,-93.118,-92.991,-94.443,-93.497,-92.948,-92.857,-91.940,-94.381,-90.304,-91.251,-93.050,-92.516,-93.333,-91.402,-93.755,-91.455,-95.050
230.854,91.518,-96.559,-93.888,-90.227,-97.049,-93.741,-91.950,-96.220,-93.543,-95.347,-92.747,-95.135,-94.641,-94.378,-91.658,-91.701,-91.183,-94.142,-92.101,-93.288,-92.010,-93.807,-91.933,-93.310,-91.230,-93.431,-90.836,-92.958,-92.889,-94.072,-93.873,-94.222,-89.544,-90.679,-92.632,-93.787,-93.512,-81.284,-91.803,-94.709,-92.847,-91.434,-93.246,-94.136,-95.197,-92.650,-95.216,-93.150,-93.396,-91.952,-91.800,-90.882,-92.801,-90.677,-91.947,-93.566,-93.696,-92.451,-92.971,-93.527,-92.754,-91.718,-93.330,-92.760,-93.504,-94.678,-92.580,-92.462,-96.065,-93.527,-91.793,-90.133,-91.860,-92.986,-93.858,-93.404,-87.358,-95.180,-89.202,-92.633,-95.647,-95.173,-93.448,-92.438,-93.637,-94.435,-95.877,-93.687,-93.532,-92.403,-93.466,-94.168,-92.865,-92.753,-93.520,-93.809,-94.479,-94.137,-90.482,-94.153,-93.173,-90.989
251.976,91.518,-92.109,-94.247,-94.185,-92.674,-92.889,-93.655,-92.367,-95.622,-94.374,-90.671,-93.280,-95.929,-93.791,-93.511,-94.816,-92.244,-91.613,-93.051,-92.114,-92.521,-93.431,-92.742,-94.410,-93.275,-94.503,-92.680,-93.528,-94.600,-91.173,-93.848,-94.434,-92.583,-92.271,-90.650,-93.432,-82.594,-80.837,-92.377,-91.982,-93.503,-92.272,-93.294,-92.855,-92.377,-92.933,-92.205,-93.795,-95.132,-92.663,-94.238,-92.395,-92.661,-90.579,-92.002,-95.334,-89.457,-94.281,-93.881,-93.289,-97.020,-93.559,-91.267,-93.697,-94.911,-91.097,-91.796,-95.468,-93.408,-93.295,-92.299,-94.866,-91.077,-92.318,-92.609,-95.792,-90.798,-92.013,-91.019,-93.556,-93.056,-91.298,-93.892,-93.883,-89.739,-92.655,-94.650,-90.035,-95.228,-91.884,-95.654,-92.414,-92.153,-91.638,-93.510,-94.401,-92.360,-93.895,-90.969,-94.543,-94.544,-93.078
273.099,91.518,-92.181,-94.835,-92.418,-93.772,-90.589,-91.139,-92.732,-91.758,-92.232,-93.914,-92.114,-90.831,-93.690,-95.416,-92.195,-90.132,-92.368,-96.058,-93.493,-92.385,-90.804,-92.618,-94.330,-90.998,-94.102,-94.326,-92.142,-93.878,-94.316,-93.492,-92.652,-92.686,-93.710,-91.906,-94.499,-91.835,-93.308,-91.654,-92.728,-92.904,-91.810,-92.607,-96.571,-91.780,-92.274,-91.370,-91.074,-94.695,-92.812,-93.032,-92.378,-92.414,-87.566,-94.008,-93.139,-95.144,-90.305,-91.394,-92.268,-91.218,-93.353,-95.380,-91.026,-89.595,-92.312,-93.785,-95.192,-92.742,-94.508,-92.162,-93.513,-93.613,-92.275,-94.643,-93.248,-92.620,-91.404,-95.591,-94.626,-92.687,-92.777,-92.974,-89.672,-92.353,-92.876,-92.873,-93.117,-95.701,-90.848,-90.861,-91.534,-93.162,-94.060,-91.981,-91.692,-92.674,-93.296,-94.013,-92.910,-92.144,-93.572
294.222,91.518,-93.730,-93.737,-95.981,-94.003,-94.607,-91.792,-95.474,-96.020,-93.102,-94.695,-91.862,-92.947,-94.676,-96.482,-90.223,-92.370,-91.871,-95.421,-92.879,-94.234,-93.352,-91.125,-92.851,-92.961,-93.508,-93.814,-94.126,-90.162,-92.228,-91.855,-91.660,-94.330,-93.453,-94.365,-91.806,-91.671,-92.226,-92.527,-91.807,-93.256,-91.665,-92.502,-92.535,-95.169,-91.814,-91.031,-92.953,-92.491,-91.349,-92.878,-93.355,-90.828,-88.128,-94.883,-92.170,-93.648,-94.719,-92.742,-94.523,-91.158,-90.794,-94.759,-92.962,-93.412,-91.028,-92.089,-92.351,-91.202,-92.230,-91.840,-91.965,-91.584,-94.127,-93.406,-92.523,-90.686,-92.821,-90.791,-93.158,-91.536,-92.773,-94.298,-91.157,-91.782,-93.562,-91.581,-92.169,-93.102,-90.554,-93.201,-94.353,-91.547,-93.382,-92.873,-94.090,-93.991,-92.206,-94.436,-93.289,-93.832,-93.668
315.345,91.518,-92.694,-92.308,-91.845,-92.480,-92.391,-91.384,-93.606,-93.570,-94.300,-92.814,-91.992,-93.481,-92.936,-92.227,-91.784,-94.842,-94.854,-92.089,-93.181,-91.173,-92.048,-90.334,-93.474,-92.013,-93.705,-93.278,-92.797,-94.123,-92.507,-93.465,-93.255,-94.263,-94.251,-93.549,-93.518,-93.252,-91.299,-92.744,-95.134,-93.722,-92.890,-94.665,-92.053,-93.559,-94.138,-92.569,-92.891,-93.351,-92.868,-93.338,-91.941,-93.250,-89.602,-91.838,-91.899,-94.249,-90.546,-94.975,-91.013,-93.894,-92.815,-93.840,-94.181,-93.216,-95.995,-93.061,-93.713,-89.990,-93.693,-94.576,-91.592,-91.875,-91.590,-93.241,-91.921,-88.989,-94.298,-95.462,-92.764,-91.235,-91.750,-91.542,-91.967,-93.201,-93.683,-97.327,-91.853,-94.217,-90.729,-93.379,-92.666,-92.137,-94.142,-93.465,-94.160,-92.723,-90.336,-94.077,-92.679,-95.829,-93.353
