PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
125.116,85.601,-89.569
135.070,85.601,-88.635
145.024,85.601,-88.281
154.979,85.601,-88.539
164.933,85.601,-82.859
174.887,85.601,-84.495
184.841,85.601,-83.061
194.796,85.601,-88.522
204.750,85.601,-84.888
214.704,85.601,-89.421
224.658,85.601,-90.689
234.613,85.601,-84.255
244.567,85.601,-83.936
254.521,85.601,-91.172
264.476,85.601,-91.257
274.430,85.601,-90.979
284.384,85.601,-82.806
294.338,85.601,-91.979
304.293,85.601,-91.242
314.247,85.601,-84.915
125.116,100.236,-89.005
135.070,100.236,-83.721
145.024,100.236,-83.183
154.979,100.236,-89.663
164.933,100.236,-89.490
174.887,100.236,-83.715
184.841,100.236,-84.879
194.796,100.236,-90.371
204.750,100.236,-90.624
214.704,100.236,-85.546
224.658,100.236,-92.428
234.613,100.236,-91.013
244.567,100.236,-84.309
254.521,100.236,-83.602
264.476,100.236,-83.290
274.430,100.236,-90.282
284.384,100.236,-90.632
294.338,100.236,-93.716
304.293,100.236,-93.736
314.247,100.236,-91.689
125.116,114.871,-90.179
135.070,114.871,-90.355
145.024,114.871,-83.909
154.979,114.871,-90.386
164.933,114.871,-90.322
174.887,114.871,-83.513
184.841,114.871,-85.516
194.796,114.871,-84.279
204.750,114.871,-91.584
214.704,114.871,-91.981
224.658,114.871,-93.993
234.613,114.871,-92.762
244.567,114.871,-94.229
254.521,114.871,-81.784
264.476,114.871,-82.725
274.430,114.871,-94.008
284.384,114.871,-95.185
294.338,114.871,-94.354
304.293,114.871,-90.861
314.247,114.871,-84.120
125.116,129.506,-86.784
135.070,129.506,-90.720
145.024,129.506,-91.528
154.979,129.506,-91.124
164.933,129.506,-90.505
174.887,129.506,-91.522
184.841,129.506,-84.194
194.796,129.506,-83.158
204.750,129.506,-92.841
214.704,129.506,-91.761
224.658,129.506,-92.416
234.613,129.506,-92.436
244.567,129.506,-86.080
254.521,129.506,-92.487
264.476,129.506,-83.204
274.430,129.506,-85.072
284.384,129.506,-93.676
294.338,129.506,-92.802
304.293,129.506,-91.546
314.247,129.506,-70.822
125.116,144.141,-88.801
135.070,144.141,-90.382
145.024,144.141,-91.606
154.979,144.141,-91.758
164.933,144.141,-91.792
174.887,144.141,-72.344
184.841,144.141,-71.721
194.796,144.141,-83.478
204.750,144.141,-84.896
214.704,144.141,-92.015
224.658,144.141,-94.247
234.613,144.141,-82.154
244.567,144.141,-95.086
254.521,144.141,-94.007
264.476,144.141,-86.663
274.430,144.141,-84.106
284.384,144.141,-83.979
294.338,144.141,-97.165
304.293,144.141,-83.028
314.247,144.141,-96.141
