PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
156.492,112.423,-90.639
160.062,112.423,-88.898
163.632,112.423,-93.241
167.203,112.423,-93.343
170.773,112.423,-90.027
174.343,112.423,-92.500
177.913,112.423,-92.955
181.483,112.423,-92.413
185.053,112.423,-92.269
188.623,112.423,-92.437
192.193,112.423,-91.063
195.763,112.423,-90.723
199.333,112.423,-91.021
202.903,112.423,-91.610
206.473,112.423,-88.820
210.043,112.423,-89.801
213.613,112.423,-86.932
217.183,112.423,-87.938
220.753,112.423,-86.606
224.323,112.423,-86.698
227.894,112.423,-85.551
231.464,112.423,-85.648
235.034,112.423,-85.904
238.604,112.423,-85.599
242.174,112.423,-85.820
245.744,112.423,-84.028
249.314,112.423,-84.323
252.884,112.423,-85.289
256.454,112.423,-84.378
260.024,112.423,-85.364
263.594,112.423,-84.360
267.164,112.423,-84.287
270.734,112.423,-84.549
274.304,112.423,-83.067
277.874,112.423,-84.357
281.444,112.423,-83.987
285.014,112.423,-84.274
288.585,112.423,-85.519
292.155,112.423,-84.855
295.725,112.423,-83.822
299.295,112.423,-83.799
302.865,112.423,-84.369
306.435,112.423,-84.135
310.005,112.423,-84.979
313.575,112.423,-85.155
317.145,112.423,-84.660
320.715,112.423,-84.809
324.285,112.423,-84.693
327.855,112.423,-83.856
331.425,112.423,-84.815
334.995,112.423,-85.108
338.565,112.423,-85.665
342.135,112.423,-85.104
345.705,112.423,-85.918
349.276,112.423,-86.292
352.846,112.423,-85.091
356.416,112.423,-87.152
359.986,112.423,-86.565
363.556,112.423,-86.605
367.126,112.423,-86.633
156.492,116.386,-89.158
160.062,116.386,-88.233
163.632,116.386,-88.515
167.203,116.386,-88.580
170.773,116.386,-88.640
174.343,116.386,-89.148
177.913,116.386,-88.411
181.483,116.386,-88.538
185.053,116.386,-90.019
188.623,116.386,-88.679
192.193,116.386,-90.746
195.763,116.386,-91.141
199.333,116.386,-90.328
202.903,116.386,-91.108
206.473,116.386,-92.597
210.043,116.386,-91.843
213.613,116.386,-91.654
217.183,116.386,-92.734
220.753,116.386,-91.517
224.323,116.386,-90.928
227.894,116.386,-90.842
231.464,116.386,-91.055
235.034,116.386,-89.459
238.604,116.386,-87.392
242.174,116.386,-87.497
245.744,116.386,-86.598
249.314,116.386,-84.589
252.884,116.386,-85.852
256.454,116.386,-84.690
260.024,116.386,-85.935
263.594,116.386,-83.803
267.164,116.386,-84.918
270.734,116.386,-84.201
274.304,116.386,-85.251
277.874,116.386,-85.707
281.444,116.386,-85.600
285.014,116.386,-86.095
288.585,116.386,-86.644
292.155,116.386,-86.280
295.725,116.386,-85.942
299.295,116.386,-86.346
302.865,116.386,-86.876
306.435,116.386,-85.775
310.005,116.386,-87.264
313.575,116.386,-87.351
317.145,116.386,-86.328
320.715,116.386,-85.421
324.285,116.386,-86.608
327.855,116.386,-86.465
331.425,116.386,-87.147
334.995,116.386,-86.221
338.565,116.386,-87.388
342.135,116.386,-86.996
345.705,116.386,-85.578
349.276,116.386,-86.652
352.846,116.386,-86.453
356.416,116.386,-86.275
359.986,116.386,-85.386
363.556,116.386,-86.237
367.126,116.386,-86.861
156.492,120.349,-85.671
160.062,120.349,-87.110
163.632,120.349,-86.331
167.203,120.349,-86.549
170.773,120.349,-85.633
174.343,120.349,-85.848
177.913,120.349,-85.950
181.483,120.349,-86.619
185.053,120.349,-86.725
188.623,120.349,-85.916
192.193,120.349,-85.428
195.763,120.349,-85.283
199.333,120.349,-84.710
202.903,120.349,-85.212
206.473,120.349,-85.348
210.043,120.349,-84.380
213.613,120.349,-84.831
217.183,120.349,-84.363
220.753,120.349,-83.394
224.323,120.349,-83.799
227.894,120.349,-82.949
231.464,120.349,-83.508
235.034,120.349,-82.352
238.604,120.349,-83.315
242.174,120.349,-82.359
245.744,120.349,-81.379
249.314,120.349,-82.378
252.884,120.349,-82.409
256.454,120.349,-82.649
260.024,120.349,-82.996
263.594,120.349,-83.256
267.164,120.349,-84.138
270.734,120.349,-83.836
274.304,120.349,-86.340
277.874,120.349,-86.302
281.444,120.349,-84.260
285.014,120.349,-82.850
288.585,120.349,-82.360
292.155,120.349,-80.656
295.725,120.349,-80.715
299.295,120.349,-80.327
302.865,120.349,-80.850
306.435,120.349,-80.424
310.005,120.349,-80.801
313.575,120.349,-80.597
317.145,120.349,-79.602
320.715,120.349,-81.420
324.285,120.349,-81.153
327.855,120.349,-81.691
331.425,120.349,-79.778
334.995,120.349,-81.803
338.565,120.349,-81.264
342.135,120.349,-82.434
345.705,120.349,-82.358
349.276,120.349,-81.477
352.846,120.349,-80.387
356.416,120.349,-82.583
359.986,120.349,-82.068
363.556,120.349,-83.154
367.126,120.349,-83.051
156.492,124.312,-88.031
160.062,124.312,-88.948
163.632,124.312,-87.957
167.203,124.312,-88.048
170.773,124.312,-87.731
174.343,124.312,-87.699
177.913,124.312,-87.492
181.483,124.312,-86.920
185.053,124.312,-88.272
188.623,124.312,-87.320
192.193,124.312,-86.661
195.763,124.312,-86.545
199.333,124.312,-87.207
202.903,124.312,-86.088
206.473,124.312,-85.951
210.043,124.312,-85.935
213.613,124.312,-85.817
217.183,124.312,-84.961
220.753,124.312,-85.533
224.323,124.312,-84.304
227.894,124.312,-85.366
231.464,124.312,-84.311
235.034,124.312,-84.112
238.604,124.312,-83.688
242.174,124.312,-84.230
245.744,124.312,-83.270
249.314,124.312,-82.736
252.884,124.312,-82.893
256.454,124.312,-83.133
260.024,124.312,-81.972
263.594,124.312,-81.521
267.164,124.312,-82.155
270.734,124.312,-81.402
274.304,124.312,-81.812
277.874,124.312,-81.437
281.444,124.312,-81.554
285.014,124.312,-81.790
288.585,124.312,-80.951
292.155,124.312,-81.794
295.725,124.312,-81.208
299.295,124.312,-81.263
302.865,124.312,-82.057
306.435,124.312,-81.046
310.005,124.312,-79.625
313.575,124.312,-81.134
317.145,124.312,-82.702
320.715,124.312,-82.029
324.285,124.312,-81.947
327.855,124.312,-81.662
331.425,124.312,-81.783
334.995,124.312,-82.437
338.565,124.312,-81.669
342.135,124.312,-82.761
345.705,124.312,-82.098
349.276,124.312,-82.808
352.846,124.312,-82.901
356.416,124.312,-82.364
359.986,124.312,-82.959
363.556,124.312,-82.157
367.126,124.312,-82.613
156.492,128.276,-90.363
160.062,128.276,-89.825
163.632,128.276,-89.930
167.203,128.276,-89.683
170.773,128.276,-89.984
174.343,128.276,-89.194
177.913,128.276,-89.280
181.483,128.276,-90.406
185.053,128.276,-89.920
188.623,128.276,-88.622
192.193,128.276,-89.708
195.763,128.276,-89.626
199.333,128.276,-87.484
202.903,128.276,-89.012
206.473,128.276,-87.216
210.043,128.276,-87.734
213.613,128.276,-87.250
217.183,128.276,-86.890
220.753,128.276,-86.280
224.323,128.276,-87.311
227.894,128.276,-84.896
231.464,128.276,-86.901
235.034,128.276,-84.781
238.604,128.276,-85.781
242.174,128.276,-85.216
245.744,128.276,-84.819
249.314,128.276,-85.665
252.884,128.276,-83.489
256.454,128.276,-84.552
260.024,128.276,-83.875
263.594,128.276,-83.707
267.164,128.276,-83.989
270.734,128.276,-82.403
274.304,128.276,-83.188
277.874,128.276,-83.263
281.444,128.276,-83.186
285.014,128.276,-83.216
288.585,128.276,-83.018
292.155,128.276,-82.729
295.725,128.276,-82.749
299.295,128.276,-82.162
302.865,128.276,-82.784
306.435,128.276,-82.343
310.005,128.276,-82.933
313.575,128.276,-83.339
317.145,128.276,-83.644
320.715,128.276,-82.913
324.285,128.276,-83.300
327.855,128.276,-82.018
331.425,128.276,-84.322
334.995,128.276,-83.545
338.565,128.276,-83.177
342.135,128.276,-84.321
345.705,128.276,-83.868
349.276,128.276,-83.224
352.846,128.276,-83.608
356.416,128.276,-83.830
359.986,128.276,-84.500
363.556,128.276,-83.967
367.126,128.276,-80.970
156.492,132.239,-90.211
160.062,132.239,-89.944
163.632,132.239,-89.120
167.203,132.239,-88.832
170.773,132.239,-89.440
