PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
-14.675,107.306,-90.996
-11.393,107.306,-94.109
-8.111,107.306,-94.140
-4.829,107.306,-94.451
-1.547,107.306,-92.986
1.735,107.306,-94.056
5.017,107.306,-95.619
8.299,107.306,-96.328
11.581,107.306,-95.506
14.864,107.306,-94.806
18.146,107.306,-95.105
21.428,107.306,-95.808
24.710,107.306,-96.632
27.992,107.306,-94.783
31.274,107.306,-95.384
34.556,107.306,-95.623
37.838,107.306,-95.556
41.120,107.306,-95.935
44.403,107.306,-95.504
47.685,107.306,-96.260
50.967,107.306,-95.422
54.249,107.306,-94.779
57.531,107.306,-95.352
60.813,107.306,-93.798
64.095,107.306,-91.911
67.377,107.306,-94.839
70.659,107.306,-94.755
73.942,107.306,-96.440
77.224,107.306,-92.721
80.506,107.306,-95.065
83.788,107.306,-96.696
87.070,107.306,-94.860
90.352,107.306,-93.697
93.634,107.306,-96.688
96.916,107.306,-96.140
100.198,107.306,-95.655
103.481,107.306,-95.771
106.763,107.306,-95.221
110.045,107.306,-95.128
113.327,107.306,-96.027
116.609,107.306,-97.459
119.891,107.306,-96.373
123.173,107.306,-96.187
126.455,107.306,-96.166
129.737,107.306,-96.891
133.020,107.306,-94.803
136.302,107.306,-96.476
139.584,107.306,-97.049
142.866,107.306,-97.099
146.148,107.306,-97.198
149.430,107.306,-96.566
152.712,107.306,-94.930
155.994,107.306,-96.700
159.276,107.306,-96.449
162.559,107.306,-96.430
165.841,107.306,-96.023
169.123,107.306,-96.405
172.405,107.306,-95.767
175.687,107.306,-95.689
178.969,107.306,-97.295
-14.675,111.171,-90.200
-11.393,111.171,-91.097
-8.111,111.171,-93.533
-4.829,111.171,-93.747
-1.547,111.171,-92.901
1.735,111.171,-92.985
5.017,111.171,-93.139
8.299,111.171,-91.894
11.581,111.171,-94.548
14.864,111.171,-95.779
18.146,111.171,-94.906
21.428,111.171,-95.376
24.710,111.171,-94.632
27.992,111.171,-95.756
31.274,111.171,-95.493
34.556,111.171,-96.153
37.838,111.171,-95.568
41.120,111.171,-96.073
44.403,111.171,-94.724
47.685,111.171,-96.813
50.967,111.171,-96.630
54.249,111.171,-97.448
57.531,111.171,-93.671
60.813,111.171,-96.548
64.095,111.171,-93.188
67.377,111.171,-93.802
70.659,111.171,-95.387
