PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
113.762,104.177,-85.257
116.984,104.177,-85.114
120.206,104.177,-84.629
123.428,104.177,-84.774
126.650,104.177,-84.905
129.872,104.177,-83.219
133.093,104.177,-83.245
136.315,104.177,-83.982
139.537,104.177,-85.098
142.759,104.177,-83.177
145.981,104.177,-84.163
149.203,104.177,-83.762
152.425,104.177,-83.409
155.647,104.177,-85.056
158.869,104.177,-84.016
162.091,104.177,-84.277
165.313,104.177,-84.501
168.534,104.177,-83.728
171.756,104.177,-84.197
174.978,104.177,-84.828
178.200,104.177,-84.909
181.422,104.177,-84.878
184.644,104.177,-84.897
187.866,104.177,-84.433
191.088,104.177,-85.590
194.310,104.177,-86.518
197.532,104.177,-84.829
200.753,104.177,-86.129
203.975,104.177,-85.416
207.197,104.177,-85.292
210.419,104.177,-85.458
213.641,104.177,-86.403
216.863,104.177,-86.722
220.085,104.177,-86.635
223.307,104.177,-88.231
226.529,104.177,-88.523
229.751,104.177,-87.681
232.972,104.177,-88.551
236.194,104.177,-88.534
239.416,104.177,-87.887
242.638,104.177,-89.705
245.860,104.177,-89.448
249.082,104.177,-89.431
252.304,104.177,-88.912
255.526,104.177,-91.096
258.748,104.177,-89.742
261.970,104.177,-90.977
265.192,104.177,-91.003
268.413,104.177,-91.668
271.635,104.177,-92.467
274.857,104.177,-91.511
278.079,104.177,-89.664
281.301,104.177,-91.740
284.523,104.177,-91.910
287.745,104.177,-84.886
290.967,104.177,-91.775
294.189,104.177,-91.608
297.411,104.177,-92.345
300.632,104.177,-92.875
303.854,104.177,-93.623
113.762,108.693,-83.634
116.984,108.693,-83.527
120.206,108.693,-83.699
123.428,108.693,-83.731
126.650,108.693,-83.379
129.872,108.693,-84.402
133.093,108.693,-84.005
136.315,108.693,-83.934
139.537,108.693,-84.498
142.759,108.693,-83.864
145.981,108.693,-83.004
149.203,108.693,-83.374
152.425,108.693,-84.134
155.647,108.693,-82.151
158.869,108.693,-82.931
162.091,108.693,-82.766
165.313,108.693,-82.367
168.534,108.693,-83.997
171.756,108.693,-83.408
174.978,108.693,-83.404
178.200,108.693,-84.065
181.422,108.693,-83.556
184.644,108.693,-84.704
187.866,108.693,-83.514
191.088,108.693,-84.596
194.310,108.693,-82.758
197.532,108.693,-84.113
200.753,108.693,-85.050
203.975,108.693,-85.302
207.197,108.693,-86.481
210.419,108.693,-85.929
213.641,108.693,-85.379
216.863,108.693,-85.575
220.085,108.693,-86.440
223.307,108.693,-87.076
226.529,108.693,-87.344
229.751,108.693,-87.047
232.972,108.693,-87.517
236.194,108.693,-88.163
239.416,108.693,-88.905
242.638,108.693,-88.854
245.860,108.693,-89.103
249.082,108.693,-89.671
252.304,108.693,-89.599
255.526,108.693,-89.216
258.748,108.693,-89.597
261.970,108.693,-90.948
265.192,108.693,-90.074
268.413,108.693,-91.094
271.635,108.693,-91.365
274.857,108.693,-91.537
278.079,108.693,-91.507
281.301,108.693,-91.439
284.523,108.693,-89.520
287.745,108.693,-91.230
290.967,108.693,-91.646
294.189,108.693,-92.368
297.411,108.693,-90.762
300.632,108.693,-91.836
303.854,108.693,-91.081
113.762,113.209,-84.787
116.984,113.209,-83.346
120.206,113.209,-84.509
123.428,113.209,-83.304
126.650,113.209,-84.299
129.872,113.209,-83.739
133.093,113.209,-83.455
136.315,113.209,-81.662
139.537,113.209,-82.116
142.759,113.209,-82.918
145.981,113.209,-82.044
149.203,113.209,-82.886
152.425,113.209,-81.615
155.647,113.209,-83.170
158.869,113.209,-82.889
162.091,113.209,-81.237
165.313,113.209,-82.743
168.534,113.209,-82.596
171.756,113.209,-83.138
174.978,113.209,-83.251
178.200,113.209,-83.044
181.422,113.209,-83.221
184.644,113.209,-83.889
187.866,113.209,-83.918
191.088,113.209,-82.948
194.310,113.209,-84.541
197.532,113.209,-83.624
200.753,113.209,-83.262
203.975,113.209,-84.078
207.197,113.209,-84.393
210.419,113.209,-84.911
213.641,113.209,-85.845
216.863,113.209,-85.129
220.085,113.209,-85.399
223.307,113.209,-85.776
226.529,113.209,-86.064
229.751,113.209,-86.679
232.972,113.209,-87.182
236.194,113.209,-87.044
239.416,113.209,-88.267
242.638,113.209,-87.244
245.860,113.209,-89.137
249.082,113.209,-88.316
252.304,113.209,-88.907
255.526,113.209,-89.566
258.748,113.209,-88.507
261.970,113.209,-90.035
265.192,113.209,-90.179
268.413,113.209,-89.897
271.635,113.209,-91.075
274.857,113.209,-87.174
278.079,113.209,-90.202
281.301,113.209,-92.291
284.523,113.209,-91.049
287.745,113.209,-92.491
290.967,113.209,-91.314
294.189,113.209,-93.067
297.411,113.209,-88.984
300.632,113.209,-86.367
303.854,113.209,-86.137
113.762,117.726,-84.621
116.984,117.726,-83.712
120.206,117.726,-84.607
123.428,117.726,-84.404
126.650,117.726,-82.788
129.872,117.726,-84.054
133.093,117.726,-82.611
136.315,117.726,-82.550
139.537,117.726,-83.321
142.759,117.726,-83.445
145.981,117.726,-82.283
149.203,117.726,-82.855
152.425,117.726,-82.638
