PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
-5.843,81.289,-87.059
-2.770,81.289,-89.486
0.304,81.289,-88.963
3.377,81.289,-88.236
6.450,81.289,-89.556
9.524,81.289,-88.199
12.597,81.289,-90.872
15.670,81.289,-90.946
18.744,81.289,-90.390
21.817,81.289,-91.849
24.890,81.289,-92.140
27.964,81.289,-93.188
31.037,81.289,-92.321
34.111,81.289,-93.101
37.184,81.289,-93.148
40.257,81.289,-89.105
43.331,81.289,-91.997
46.404,81.289,-91.351
49.477,81.289,-91.790
52.551,81.289,-91.406
55.624,81.289,-91.614
58.697,81.289,-90.882
61.771,81.289,-91.433
64.844,81.289,-90.488
67.917,81.289,-89.857
70.991,81.289,-89.716
74.064,81.289,-88.507
77.137,81.289,-89.454
80.211,81.289,-89.388
83.284,81.289,-87.690
86.357,81.289,-88.012
89.431,81.289,-88.672
92.504,81.289,-89.050
95.577,81.289,-87.828
98.651,81.289,-87.195
101.724,81.289,-88.287
104.797,81.289,-87.613
107.871,81.289,-88.022
110.944,81.289,-87.451
114.017,81.289,-87.560
117.091,81.289,-85.829
120.164,81.289,-87.317
123.237,81.289,-86.185
126.311,81.289,-88.264
129.384,81.289,-87.147
132.457,81.289,-87.400
135.531,81.289,-87.834
138.604,81.289,-87.112
141.677,81.289,-87.785
144.751,81.289,-88.276
147.824,81.289,-87.593
150.897,81.289,-86.514
153.971,81.289,-88.288
157.044,81.289,-87.131
160.117,81.289,-87.314
163.191,81.289,-84.477
166.264,81.289,-84.519
169.337,81.289,-87.113
172.411,81.289,-88.228
175.484,81.289,-85.206
-5.843,84.783,-86.200
-2.770,84.783,-87.321
0.304,84.783,-87.994
3.377,84.783,-86.393
6.450,84.783,-87.168
9.524,84.783,-88.111
12.597,84.783,-87.446
15.670,84.783,-87.713
18.744,84.783,-87.380
21.817,84.783,-88.526
24.890,84.783,-88.250
27.964,84.783,-87.530
31.037,84.783,-88.773
34.111,84.783,-88.184
37.184,84.783,-90.241
40.257,84.783,-90.700
43.331,84.783,-91.403
46.404,84.783,-91.858
49.477,84.783,-92.421
52.551,84.783,-92.688
55.624,84.783,-91.987
58.697,84.783,-92.893
61.771,84.783,-94.726
64.844,84.783,-92.280
67.917,84.783,-94.833
70.991,84.783,-95.020
74.064,84.783,-93.606
77.137,84.783,-95.510
80.211,84.783,-94.603
83.284,84.783,-94.895
86.357,84.783,-94.381
89.431,84.783,-91.953
92.504,84.783,-91.350
95.577,84.783,-88.774
98.651,84.783,-91.087
101.724,84.783,-89.909
104.797,84.783,-90.148
107.871,84.783,-90.057
110.944,84.783,-88.937
114.017,84.783,-90.084
117.091,84.783,-88.358
120.164,84.783,-88.747
123.237,84.783,-89.640
126.311,84.783,-89.485
129.384,84.783,-89.092
132.457,84.783,-87.160
135.531,84.783,-89.658
138.604,84.783,-89.445
141.677,84.783,-87.304
144.751,84.783,-87.912
147.824,84.783,-88.648
150.897,84.783,-88.872
153.971,84.783,-90.098
157.044,84.783,-89.324
160.117,84.783,-88.451
163.191,84.783,-88.922
